# Undirected graph (each unordered pair of nodes is saved once): SIR_erdos_renyi.txt
#Institution	Counterparty	starting_date	finish_date	interes_rate	amount
8	13	30/08/2013	13/11/2017	10	1912729
8	13	30/08/2013	03/12/2017	8	4850698
8	13	30/08/2013	08/10/2017	13	4465396
8	13	30/08/2013	02/02/2018	13	2276097
8	13	30/08/2013	12/01/2018	15	2035814
8	13	30/08/2013	10/02/2018	5	4205381
8	13	30/08/2013	01/11/2017	14	2271800
8	13	30/08/2013	30/10/2017	13	1889295
8	13	30/08/2013	18/01/2018	11	4849974
8	13	30/08/2013	28/01/2018	7	806135
8	13	30/08/2013	05/03/2018	6	599386
8	13	30/08/2013	03/03/2018	6	1217148
8	13	30/08/2013	24/09/2017	6	4643485
8	13	30/08/2013	02/11/2017	10	4528136
8	13	30/08/2013	25/09/2017	8	3591557
8	13	30/08/2013	05/11/2017	7	1476379
8	13	30/08/2013	21/11/2017	10	1703000
8	13	30/08/2013	18/02/2018	10	2573056
8	13	30/08/2013	15/11/2017	7	1522682
8	13	30/08/2013	27/01/2018	13	667714
8	13	30/08/2013	16/11/2017	15	1124158
8	13	30/08/2013	25/01/2018	8	816301
8	13	30/08/2013	18/12/2017	15	4357541
8	13	30/08/2013	12/12/2017	10	1921811
8	13	30/08/2013	11/11/2017	13	4431865
8	13	30/08/2013	03/10/2017	8	2494906
8	13	30/08/2013	14/02/2018	6	811797
8	13	30/08/2013	27/11/2017	7	3072518
8	13	30/08/2013	08/02/2018	15	2372488
8	13	30/08/2013	20/11/2017	11	3657859
8	13	30/08/2013	01/09/2017	11	1257540
8	13	30/08/2013	07/10/2017	10	564707
8	13	30/08/2013	22/10/2017	6	671304
8	13	30/08/2013	21/09/2017	15	4075129
8	13	30/08/2013	24/02/2018	9	1837397
8	13	30/08/2013	08/11/2017	5	3431143
8	13	30/08/2013	03/11/2017	11	2599079
8	13	30/08/2013	01/03/2018	7	358029
8	13	30/08/2013	18/11/2017	10	2747423
8	13	30/08/2013	23/10/2017	6	4064814
8	13	30/08/2013	28/09/2017	8	4459216
8	13	30/08/2013	24/10/2017	8	4938804
8	13	30/08/2013	03/02/2018	14	1695768
8	13	30/08/2013	19/12/2017	15	741964
8	13	30/08/2013	27/12/2017	9	1209584
8	13	30/08/2013	15/09/2017	14	1761453
8	13	30/08/2013	02/11/2017	9	1604950
8	13	30/08/2013	14/02/2018	6	2542346
8	13	30/08/2013	05/09/2017	12	663269
8	13	30/08/2013	21/11/2017	5	3678269
8	13	30/08/2013	07/03/2018	8	3134530
8	13	30/08/2013	29/11/2017	10	933455
8	13	30/08/2013	05/10/2017	7	2196579
8	13	30/08/2013	30/10/2017	5	4995328
8	13	30/08/2013	07/10/2017	8	4246022
8	13	30/08/2013	06/09/2017	10	1730584
8	13	30/08/2013	24/09/2017	10	750350
8	13	30/08/2013	07/09/2017	13	1624387
8	13	30/08/2013	12/12/2017	14	3575210
8	13	30/08/2013	13/09/2017	14	560285
8	13	30/08/2013	06/11/2017	12	2743692
8	13	30/08/2013	22/10/2017	7	2810560
8	13	30/08/2013	13/03/2018	9	2788371
8	13	30/08/2013	13/09/2017	11	1560795
8	13	30/08/2013	25/11/2017	9	941740
8	13	30/08/2013	30/09/2017	5	3403702
8	13	30/08/2013	18/12/2017	12	4959031
8	13	30/08/2013	12/01/2018	10	4325156
8	13	30/08/2013	23/09/2017	5	4951399
8	13	30/08/2013	03/10/2017	9	1345621
8	13	30/08/2013	25/09/2017	14	1261835
8	13	19/12/2013	14/03/2018	11	4759237
8	13	19/12/2013	14/09/2017	14	1356317
8	13	19/12/2013	31/12/2017	9	3464575
8	13	19/12/2013	29/11/2017	9	1156325
8	13	19/12/2013	17/10/2017	9	3687921
8	13	19/12/2013	19/10/2017	13	3030945
8	13	19/12/2013	19/12/2017	12	1344679
8	13	19/12/2013	02/02/2018	14	2686471
8	13	19/12/2013	15/10/2017	8	3110741
8	13	19/12/2013	01/03/2018	9	4272915
8	13	19/12/2013	26/02/2018	13	923200
8	13	19/12/2013	02/09/2017	15	569976
8	13	19/12/2013	07/09/2017	10	1940607
8	13	19/12/2013	14/02/2018	6	258916
8	13	19/12/2013	05/12/2017	9	617284
8	13	19/12/2013	22/09/2017	11	3483515
8	13	19/12/2013	29/09/2017	8	387038
8	13	19/12/2013	20/09/2017	7	762453
8	13	19/12/2013	18/09/2017	9	1397924
8	13	19/12/2013	12/03/2018	9	458660
8	13	19/12/2013	06/10/2017	7	830173
8	13	19/12/2013	27/01/2018	14	4250878
8	13	19/12/2013	12/02/2018	11	3875778
8	13	19/12/2013	08/02/2018	5	388111
8	13	19/12/2013	08/02/2018	15	4784785
8	13	19/12/2013	30/10/2017	6	1009174
8	13	19/12/2013	19/03/2018	12	891272
8	13	19/12/2013	01/09/2017	15	862637
8	13	19/12/2013	29/01/2018	11	2157635
8	13	19/12/2013	04/10/2017	13	1198983
8	13	19/12/2013	06/12/2017	10	2307167
8	13	19/12/2013	10/11/2017	14	3243297
8	13	19/12/2013	22/01/2018	10	594277
8	13	19/12/2013	07/02/2018	7	1412300
8	13	19/12/2013	02/01/2018	13	3808046
8	13	19/12/2013	20/11/2017	6	4726571
8	13	19/12/2013	21/11/2017	12	127466
8	13	19/12/2013	01/09/2017	14	1759160
8	13	19/12/2013	30/10/2017	15	2487469
8	13	19/12/2013	18/02/2018	12	4151209
8	13	19/12/2013	14/12/2017	6	1577565
8	13	19/12/2013	05/09/2017	10	4475475
8	13	19/12/2013	28/12/2017	9	2873977
8	13	19/12/2013	19/09/2017	9	1549533
8	13	19/12/2013	26/11/2017	10	4908371
8	13	19/12/2013	06/03/2018	14	3931146
8	13	19/12/2013	31/12/2017	7	3276088
8	13	19/12/2013	05/02/2018	8	330551
8	13	19/12/2013	13/11/2017	12	345916
8	13	19/12/2013	06/10/2017	6	2060965
8	13	19/12/2013	08/11/2017	14	36785
8	13	19/12/2013	21/02/2018	15	3933287
8	13	19/12/2013	17/01/2018	6	4359859
8	13	19/12/2013	08/11/2017	14	1722526
8	13	19/12/2013	30/01/2018	14	1415331
8	13	19/12/2013	30/10/2017	8	4529746
8	13	19/12/2013	04/09/2017	7	1257987
8	13	19/12/2013	04/10/2017	9	2919302
8	13	19/12/2013	11/12/2017	12	4988236
8	13	19/12/2013	15/02/2018	14	29222
8	13	19/12/2013	11/09/2017	5	2190839
8	13	19/12/2013	24/01/2018	9	394113
8	13	19/12/2013	02/11/2017	15	4075157
8	13	19/12/2013	08/02/2018	9	224087
8	13	19/12/2013	05/12/2017	15	4830440
8	13	19/12/2013	14/02/2018	5	1356789
8	13	19/12/2013	20/01/2018	5	1609373
8	13	19/12/2013	23/02/2018	8	2078623
8	13	19/12/2013	17/11/2017	15	3172579
8	13	19/12/2013	17/01/2018	10	3539219
8	13	19/12/2013	26/11/2017	6	4459663
8	13	19/12/2013	04/02/2018	8	1105912
8	13	19/12/2013	31/10/2017	9	2711816
8	13	19/12/2013	12/01/2018	6	112279
8	13	19/12/2013	07/02/2018	7	1129783
8	13	19/12/2013	06/03/2018	11	4590693
8	13	19/12/2013	27/12/2017	10	2180806
8	13	19/12/2013	17/12/2017	13	3724547
8	13	19/12/2013	15/12/2017	5	2659513
8	13	19/12/2013	22/12/2017	13	562963
8	13	19/12/2013	26/09/2017	15	4428927
8	13	19/12/2013	15/09/2017	7	2371974
8	13	19/12/2013	19/12/2017	9	2147533
8	13	19/12/2013	18/03/2018	7	4036290
8	13	19/12/2013	27/12/2017	14	531957
8	13	19/12/2013	21/09/2017	12	3380668
8	13	19/12/2013	22/02/2018	6	1904850
8	13	19/12/2013	03/09/2017	5	150327
8	13	19/12/2013	04/02/2018	12	4394609
8	13	19/12/2013	03/10/2017	5	294747
8	13	30/12/2014	04/01/2018	8	1771748
8	13	30/12/2014	17/01/2018	6	2200249
8	13	30/12/2014	17/09/2017	11	2103324
8	13	30/12/2014	20/12/2017	7	4715964
8	13	30/12/2014	16/11/2017	6	1594945
8	13	30/12/2014	10/09/2017	5	4477984
8	13	30/12/2014	15/10/2017	7	2635447
8	13	30/12/2014	22/09/2017	13	4929645
8	13	30/12/2014	19/12/2017	10	379737
8	13	30/12/2014	28/09/2017	12	510012
8	13	30/12/2014	19/01/2018	8	4636192
8	13	30/12/2014	23/11/2017	6	3931298
8	13	30/12/2014	01/01/2018	8	1626620
8	13	30/12/2014	23/02/2018	8	1127472
8	13	30/12/2014	02/11/2017	9	4020573
8	13	30/12/2014	23/02/2018	15	2599701
8	13	30/12/2014	27/09/2017	15	2527777
8	13	30/12/2014	16/02/2018	13	564609
8	13	30/12/2014	23/12/2017	6	141109
8	13	30/12/2014	28/11/2017	7	691758
8	13	30/12/2014	19/01/2018	12	1327441
8	13	30/12/2014	05/12/2017	5	4266920
8	13	30/12/2014	19/12/2017	14	4958466
8	13	30/12/2014	13/03/2018	15	44448
8	13	30/12/2014	11/12/2017	11	3379944
8	13	30/12/2014	16/11/2017	15	1138014
8	13	30/12/2014	21/02/2018	5	226545
8	13	30/12/2014	10/01/2018	15	3359316
8	13	30/12/2014	14/09/2017	13	408893
8	13	30/12/2014	16/11/2017	13	307636
8	13	30/12/2014	30/12/2017	15	1231400
8	13	30/12/2014	07/12/2017	7	3634094
8	13	30/12/2014	26/02/2018	15	1549173
8	13	30/12/2014	02/10/2017	10	701871
8	13	30/12/2014	07/01/2018	12	3836288
8	13	30/12/2014	05/01/2018	15	1685491
8	13	30/12/2014	11/01/2018	12	4812841
8	13	30/12/2014	05/03/2018	14	1842426
8	13	30/12/2014	17/02/2018	7	1576330
8	13	30/12/2014	17/11/2017	7	2716735
8	13	30/12/2014	16/02/2018	10	2671282
8	13	30/12/2014	23/02/2018	8	1451762
8	13	30/12/2014	20/02/2018	12	1875160
8	13	30/12/2014	16/09/2017	12	2321144
8	13	30/12/2014	12/10/2017	12	4024379
8	13	30/12/2014	21/12/2017	9	4429283
8	13	30/12/2014	05/03/2018	6	2941635
8	13	30/12/2014	13/12/2017	7	1691143
8	13	30/12/2014	02/11/2017	5	850200
8	13	30/12/2014	15/09/2017	11	2911691
8	13	30/12/2014	06/02/2018	10	4176453
8	13	30/12/2014	28/09/2017	10	1326474
8	13	30/12/2014	28/12/2017	12	3949814
8	13	30/12/2014	20/09/2017	6	507542
8	13	30/12/2014	26/10/2017	15	2309863
8	13	30/12/2014	06/03/2018	12	2773893
8	13	30/12/2014	29/01/2018	8	1285097
8	13	30/12/2014	18/12/2017	6	4566941
8	13	30/12/2014	16/10/2017	8	701341
8	13	30/12/2014	19/02/2018	6	183015
8	13	30/12/2014	28/11/2017	8	3835319
8	13	30/12/2014	18/10/2017	11	3939642
8	13	30/12/2014	23/02/2018	6	1560723
8	13	30/12/2014	30/10/2017	11	1042473
8	13	30/12/2014	11/02/2018	11	3552719
8	13	30/12/2014	24/12/2017	13	4897689
8	13	30/12/2014	07/02/2018	8	3334239
8	13	30/12/2014	04/01/2018	12	1163155
8	13	30/12/2014	27/09/2017	11	1540649
8	13	30/12/2014	16/02/2018	10	3958081
8	13	30/12/2014	13/02/2018	7	1302361
8	13	30/12/2014	25/01/2018	13	4598079
8	13	30/12/2014	22/10/2017	15	125618
8	13	30/12/2014	09/02/2018	8	1294350
8	13	30/12/2014	16/09/2017	7	3309157
8	13	30/12/2014	02/09/2017	15	3888395
8	13	30/12/2014	05/01/2018	10	995830
8	13	30/12/2014	01/10/2017	9	871212
8	13	30/12/2014	27/12/2017	14	4804964
8	13	30/12/2014	22/09/2017	12	1411910
8	13	30/12/2014	06/09/2017	11	1682790
8	13	30/12/2014	16/09/2017	14	4647915
8	13	30/12/2014	25/10/2017	10	4718564
8	13	30/12/2014	27/02/2018	6	3687912
8	13	30/12/2014	09/03/2018	6	4627223
8	13	30/12/2014	22/02/2018	8	3030481
8	13	30/12/2014	16/10/2017	5	1252388
8	13	30/12/2014	25/10/2017	8	1849263
8	13	30/12/2014	06/12/2017	7	3474822
8	13	30/12/2014	01/12/2017	7	2074432
8	13	30/12/2014	13/09/2017	9	1828765
8	13	30/12/2014	04/02/2018	5	4553135
8	13	30/12/2014	22/12/2017	9	1020767
8	13	30/12/2014	11/12/2017	14	3020880
8	13	30/12/2014	26/01/2018	9	2460881
8	13	30/12/2014	06/12/2017	15	3238470
8	13	30/12/2014	31/10/2017	14	3126341
8	13	30/12/2014	07/01/2018	7	2191039
8	13	30/12/2014	13/09/2017	15	3458485
8	13	30/12/2014	10/11/2017	10	1849281
8	13	30/12/2014	21/01/2018	10	3714771
8	13	30/12/2014	05/09/2017	9	1403040
8	13	30/12/2014	15/10/2017	6	2625228
8	13	30/12/2014	17/11/2017	5	3122715
8	13	30/12/2014	30/01/2018	10	3087443
8	13	30/12/2014	30/12/2017	11	1055582
8	13	30/12/2014	14/01/2018	14	885129
8	13	30/12/2014	10/10/2017	12	2226305
8	13	30/12/2014	19/09/2017	10	4082266
8	13	30/12/2014	31/10/2017	13	1151228
8	13	30/12/2014	28/11/2017	5	967528
8	13	30/12/2014	15/12/2017	7	459652
8	13	30/12/2014	11/01/2018	14	3790970
8	13	30/12/2014	10/01/2018	6	3455075
8	13	30/12/2014	15/01/2018	6	2195681
8	13	30/12/2014	17/03/2018	13	3238643
8	13	30/12/2014	13/11/2017	5	4762435
8	13	30/12/2014	14/02/2018	9	3230979
8	13	30/12/2014	08/12/2017	11	3023585
8	13	30/12/2014	18/12/2017	12	976169
8	13	30/12/2014	31/12/2017	15	3759077
8	13	30/12/2014	22/12/2017	9	3754030
8	13	30/12/2014	26/11/2017	13	1017160
8	13	30/12/2014	28/12/2017	5	4196373
8	13	30/12/2014	03/01/2018	8	2715141
8	13	30/12/2014	09/12/2017	15	2299276
8	13	30/12/2014	17/12/2017	9	2708754
8	13	30/12/2014	30/12/2017	12	3423592
8	13	30/12/2014	17/03/2018	8	3683989
8	13	30/12/2014	14/03/2018	12	2797685
8	13	30/12/2014	10/09/2017	7	1198358
8	13	30/12/2014	07/01/2018	9	2774969
8	13	30/12/2014	03/01/2018	7	1228236
8	13	30/12/2014	12/09/2017	10	1061713
8	13	30/12/2014	22/01/2018	14	4656519
8	13	30/12/2014	24/10/2017	13	1920132
8	13	30/12/2014	22/12/2017	9	661958
8	13	30/12/2014	06/10/2017	13	2523009
8	13	30/12/2014	16/02/2018	8	2439721
8	13	30/12/2014	04/09/2017	9	191841
8	13	30/12/2014	12/01/2018	10	3786917
8	13	30/12/2014	17/12/2017	7	362670
8	13	30/12/2014	25/09/2017	11	311420
8	13	30/12/2014	16/12/2017	8	2050655
8	13	30/12/2014	09/12/2017	15	4559725
8	13	30/12/2014	13/03/2018	11	707441
8	13	30/12/2014	19/12/2017	11	3024475
8	13	30/12/2014	01/03/2018	15	2941143
8	13	30/12/2014	24/02/2018	5	4302438
8	13	30/12/2014	07/12/2017	5	4266981
8	13	30/12/2014	08/09/2017	10	4200022
8	13	30/12/2014	27/01/2018	14	1861872
8	13	30/12/2014	01/12/2017	11	544771
8	13	30/12/2014	13/01/2018	7	2614920
8	13	30/12/2014	23/09/2017	8	64967
8	13	30/12/2014	06/09/2017	13	4762999
8	13	30/12/2014	02/09/2017	8	1635069
8	13	30/12/2014	30/12/2017	13	2227844
8	13	30/12/2014	23/09/2017	5	2996383
8	13	30/12/2014	29/12/2017	13	1776480
8	13	30/12/2014	08/03/2018	6	3043899
8	13	30/12/2014	12/09/2017	12	744026
8	13	30/12/2014	04/10/2017	12	4956522
8	13	30/12/2014	07/02/2018	13	4701608
8	13	30/12/2014	06/02/2018	15	913375
8	13	30/12/2014	25/02/2018	12	1919030
8	13	30/12/2014	27/09/2017	14	4060673
8	13	30/12/2014	18/03/2018	11	4974323
8	13	30/12/2014	27/12/2017	6	2907641
8	13	30/12/2014	21/09/2017	10	4044414
8	13	30/12/2014	31/12/2017	6	3486316
8	13	30/12/2014	11/11/2017	9	233594
8	13	30/12/2014	13/09/2017	13	2576088
8	13	30/12/2014	01/01/2018	8	4433603
8	13	30/12/2014	27/10/2017	14	4224783
8	13	30/12/2014	14/12/2017	5	1704332
8	13	30/12/2014	23/12/2017	14	877493
8	13	30/12/2014	26/02/2018	12	3175121
1	45	30/11/2016	30/09/2017	14	4004013
8	13	09/06/2014	06/01/2018	13	178919
8	13	09/06/2014	28/10/2017	13	771310
8	13	09/06/2014	11/01/2018	13	1678149
8	13	09/06/2014	27/09/2017	5	4072652
8	13	09/06/2014	18/12/2017	11	395525
8	13	09/06/2014	26/10/2017	12	3947611
8	13	09/06/2014	12/12/2017	14	1756378
8	13	09/06/2014	20/09/2017	8	2002720
8	13	09/06/2014	21/11/2017	15	3179938
8	13	09/06/2014	05/01/2018	6	4774777
8	13	09/06/2014	25/10/2017	14	3628795
8	13	09/06/2014	21/10/2017	6	4718021
8	13	09/06/2014	17/12/2017	10	2307908
8	13	09/06/2014	16/11/2017	8	3226278
8	13	09/06/2014	02/10/2017	10	4278449
8	13	09/06/2014	21/12/2017	8	346560
8	13	09/06/2014	16/11/2017	6	2198258
8	13	09/06/2014	07/12/2017	15	1985135
8	13	09/06/2014	08/11/2017	5	1736326
8	13	09/06/2014	08/12/2017	8	1281383
8	13	09/06/2014	13/09/2017	10	2529263
8	13	09/06/2014	02/10/2017	12	1614516
8	13	09/06/2014	21/10/2017	10	4007881
8	13	09/06/2014	05/03/2018	5	2154061
8	13	09/06/2014	07/09/2017	8	1402097
8	13	09/06/2014	09/01/2018	10	3827718
8	13	09/06/2014	08/12/2017	12	4359161
8	13	09/06/2014	25/12/2017	12	4655947
8	13	09/06/2014	16/10/2017	10	1205979
8	13	09/06/2014	21/11/2017	15	886806
8	13	09/06/2014	30/01/2018	6	4787237
8	13	09/06/2014	15/09/2017	9	2998634
8	13	09/06/2014	30/10/2017	11	700808
8	13	09/06/2014	26/09/2017	15	1620143
8	13	09/06/2014	07/11/2017	14	4331710
8	13	09/06/2014	01/02/2018	15	1328373
8	13	09/06/2014	03/11/2017	12	3478662
8	13	09/06/2014	05/12/2017	14	1588624
8	13	09/06/2014	18/09/2017	14	4963959
